name,time,hex,type,ZTMV001-遥测请求指令计数,ZTMV002-正确指令计数,ZTMV003-错误指令计数,ZTMV004-最近执行指令码,ZTMV005-DSP复位计数,ZTMV006-AIS接收本振锁定指示,ZTMV006-VDE接收本振锁定指示,ZTMV006-VDE发射本振锁定指示,ZTMV006-功放功率选择,ZTMV006-1pps状态指示,ZTMV006-DSP程序来源,ZTMV006-FLASH1状态,ZTMV006-FLASH0状态,ZTMV007-发射机开关,ZTMV007-未定义,ZTMV007-CAN总线使用标识,ZTMV007-中频采集工作状态,ZTMV008-AIS1通道信噪比,ZTMV009-AIS2通道信噪比,ZTMV010-ASM1通道信噪比,ZTMV011-ASM2通道信噪比,ZTMV012-LAIS1通道信噪比,ZTMV013-LAIS2通道信噪比,ZTMV014-VDE1通道信噪比,ZTMV015-VDE2通道信噪比,ZTMV016-VDE3通道信噪比,ZTMV017-VDE4通道信噪比,ZTMV018-VDE5通道信噪比,ZTMV019-VDE6通道信噪比,ZTMV020-错误类型识别码,ZTMV021-错误计数,ZTMV022-DSP当前版本,ZTMV023-3.6V电源,ZTMV024-5.3V电源,ZTMV025-7.7V电源,ZTMV026-发射功率,ZTMV027-温度遥测,ZTMV028-数传接收计数,ZTMV029-AIS包计数,ZTMV030-LAIS包计数,ZTMV031-ASM包计数,ZTMV032-VDE包计数,ZTMV033-时钟校正,ZTMV034-下行业务帧余量,ZTMV035-下行业务帧计数,ZTMV036-信息转发计数,ZTMV037-备用
0x0A73,1730844886794000000,03ff2301000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,35,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
0x0A73,1730844887794000000,03ff2401000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,36,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
0x0A73,1730844888794000000,03ff2501000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,37,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
0x0A73,1730844889794000000,03ff2601000202ef0000000000000000000000152100009241618e009b00000000000000000000120ff00000000005ab0f0000000000,0,38,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,18,4080,0,0,0x05ab0f0000000000
0x0A73,1730844890794000000,03ff2701000202ef0000000000000000000000152100009241618e009b00000000000000000000120ff00000000005ab0f0000000000,0,39,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,18,4080,0,0,0x05ab0f0000000000
0x0A73,1730844891794000000,03ff2801000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,40,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
0x0A73,1730844892794000000,03ff2901000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,41,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
0x0A73,1730844893794000000,03ff2a01000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,42,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
0x0A73,1730844894794000000,03ff2b01000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,43,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
0x0A73,1730844895794000000,03ff2c01000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,44,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
0x0A73,1730844896794000000,03ff2d01000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,45,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
