name,time,hex,type,ZTMK100-年,ZTMK101-月,ZTMK102-日,ZTMK103-时,ZTMK104-分,ZTMK105-秒,ZTMK106-HEATH行编号,ZTMK107-HEATH列编号,ZTMK108-HEATH数据状态无效计数,ZTMK109-共用行号,ZTMK110-共用列号,ZTMK111-共用行列指示数据,ZTMK112-姿控模式切换计数,ZTMK113-姿控系统重启计数,ZTMK114-接收指令编号,ZTMK115-星务能源级别,ZTMK116-姿控卸载时长,ZTMK117-陀螺积分定姿时长,ZTMK118-姿态机动未完成异常计数,ZTMK119-姿态指向状态标志,ZTMK120-姿控切机请求标志,ZTMK121-磁力矩器X控制百分比,ZTMK122-磁力矩器Y控制百分比,ZTMK123-磁力矩器Z控制百分比,ZTMK124-太阳矢量X_body,ZTMK125-太阳矢量Y_body,ZTMK126-太阳矢量Z_body,ZTMK127-陀螺主备优先使用标志,ZTMK127-姿控异常自主判断,ZTMK127-自动对日自主切换,ZTMK127-星敏微分优先,ZTMK127-ACCMODE,ZTMK127-单轴对日,ZTMK127-自主防护启动开关,ZTMK127-供电自主切换,ZTMK128-星敏使用优先级,ZTMK128-姿态偏置是否启动,ZTMK128-进入SAA区域,ZTMK128-Y轮偏置启动标志,ZTMK128-陀螺基准有效标志,ZTMK128-陀螺校准流程启动,ZTMK128-过测站凝视允许标志,ZTMK128-连续偏航允许标志,ZTMK129-星敏工作模式,ZTMK129-星敏成像器件状态,ZTMK129-星敏时间戳有效标志,ZTMK129-星敏姿态有效标志,ZTMK129-星敏抗杂光功能开启标志,ZTMK129-星点提取状态,ZTMK129-星敏传输标志位,ZTMK130-星敏识别星个数,ZTMK131-星敏观测星个数,ZTMK132-星敏图像灰度均值,ZTMK133-星敏成像器件温度,ZTMK134-星敏曝光时间,ZTMK135-星敏A故障重启次数,ZTMK136-星敏B故障重启次数,ZTMK137-太敏故障重启次数,ZTMK138-磁强计故障重启次数,ZTMK139-主陀螺故障重启次数,ZTMK140-备陀螺故障重启次数,ZTMK141-X轮动量故障重启次数,ZTMK142-Y轮动量故障重启次数,ZTMK143-Z轮动量故障重启次数,ZTMK144-S轮动量故障重启次数,ZTMK145-单次轨控时间长度,ZTMK146-总轨控时间长度
0x090E,1730767425340000000,03ffb405002b2c0c093a0c003d0e691a550b00077855fd09023cf95e1fd015acd108dc0b3f03ff0001010000000000000500000051,0,2024,11,5,0,43,44,12,9,58,12,0,61,14,105,26,85,11,0,1912,指向正常,error,9,2,60,-0.1698,0.8144,0.5548000000000001,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,11,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767429340000000,03ffb405002b300d011b0c003d0e691a550b00077c55fd07023bf8851fff151ed108dc0a3f03ff0001010000000000000500000051,0,2024,11,5,0,43,48,13,1,27,12,0,61,14,105,26,85,11,0,1916,指向正常,error,7,2,59,-0.1915,0.8191,0.5406000000000001,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,10,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767433340000000,03ffb405002b340d011b0d00710e6918550b00078055fd05033bf809201114d6d108dc0a3f03ff0001010000000000000500000051,0,2024,11,5,0,43,52,13,1,27,13,0,113,14,105,24,85,11,0,1920,指向正常,error,5,3,59,-0.2039,0.8209000000000001,0.5334,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,10,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767437340000000,03ffb405002b380d09520d00710e6918550b00078455fd02043cf7482034144fd108dc073f03ff0001010000000000000500000051,0,2024,11,5,0,43,56,13,9,82,13,0,113,14,105,24,85,11,0,1924,指向正常,error,2,4,60,-0.2232,0.8244,0.5199,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,7,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767441340000000,03ffb405002c000d09520001000e6918550b00078855fd00053bf6c5204b13f0d108dc083f03ff0001010000000000000500000051,0,2024,11,5,0,44,0,13,9,82,0,1,0,14,105,24,85,11,0,1928,指向正常,error,0,5,59,-0.2363,0.8267,0.5104000000000001,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,8,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767445340000000,03ffb405002c040d09520001000e6959550b00078c55fdff063cf61f20661374d10cdc053f03ff0001010000000000000500000051,0,2024,11,5,0,44,4,13,9,82,0,1,0,14,105,89,85,11,0,1932,指向正常,error,-1,6,60,-0.2529,0.8294,0.498,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,有效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,5,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767449340000000,03ffb405002c080d09520101010e6959550b00079055fdfd073cf588207d12fcd10cdc083f03ff0001010000000000000500000051,0,2024,11,5,0,44,8,13,9,82,1,1,1,14,105,89,85,11,0,1936,指向正常,error,-3,7,60,-0.268,0.8317,0.486,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,有效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,8,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767453340000000,03ffb405002c0c0101030101010e6959550b00079455fdfb083cf50b20931290d10cdc0a3f03ff0001010000000000000500000051,0,2024,11,5,0,44,12,1,1,3,1,1,1,14,105,89,85,11,0,1940,指向正常,error,-5,8,60,-0.2805,0.8339000000000001,0.4752,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,有效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,10,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767457340000000,03ffb405002c100101030201010e6959550b00079855fdf8093cf45120b111e7d10cdc0b3f03ff0001010000000000000500000051,0,2024,11,5,0,44,16,1,1,3,2,1,1,14,105,89,85,11,0,1944,指向正常,error,-8,9,60,-0.2991,0.8369000000000001,0.4583,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,有效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,11,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767461340000000,03ffb405002c140105190201010e6959550b00079c55fdf60a3cf3fa20c1118fd10cdc0d3f03ff0001010000000000000500000051,0,2024,11,5,0,44,20,1,5,25,2,1,1,14,105,89,85,11,0,1948,指向正常,error,-10,10,60,-0.3078,0.8385,0.4495,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,有效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,13,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
